cluster_id,family,data_fields,cluster_size,avg_sharpe,avg_turnover,expression,sharpe,turnover,failure_reasons
near_pass_variant|adv20_anl4_ebitda_value_close_volume_vwap,near_pass_variant,adv20 | anl4_ebitda_value | close | volume | vwap,992,1.94,0.16263999999999998,"((group_rank(ts_delta(anl4_ebitda_value, 126)/cap,industry)-0.5)*0.7+(ts_rank(vwap/close,126)-0.5)*0.3)*rank(ts_mean(volume, 63)/adv20)",1.94,0.1628,"check: check_timeout:pending
ok

Aggregate Data:
Sharpe
1.94
Turnover
16.28%
Fitness
1.72
Returns
12.73%
Drawdown
5.54%
Margin
0.00‱"
near_pass_variant|adv20_anl4_ebitda_value_close_volume_vwap,near_pass_variant,adv20 | anl4_ebitda_value | close | volume | vwap,992,1.94,0.16263999999999998,"((group_rank(ts_delta(anl4_ebitda_value, 126)/cap,industry)-0.5)*0.7+(ts_rank(vwap/close,126)-0.5)*0.3)*rank(ts_mean(volume, 63)/(1+adv20))",1.94,0.1628,"check: check_timeout:pending
Incompatible unit for input of ""add"" at index 1, expected ""Unit[]"", found ""Unit[CSPrice:1,CSShare:1]"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>

Aggregate Data:
Sharpe
1.94
Turnover
16.28%
Fitness
1.72
Returns
12.73%
Drawdown
5.54%
Margin
0.00‱"
near_pass_variant|adv20_anl4_ebitda_value_close_volume_vwap,near_pass_variant,adv20 | anl4_ebitda_value | close | volume | vwap,992,1.94,0.16263999999999998,"((group_rank(ts_delta(anl4_ebitda_value, 126)/cap,industry)-0.5)*0.7+(ts_rank(vwap/close, 252)-0.5)*0.3)*rank(ts_mean(volume, 63)/(1+adv20))",1.94,0.1624,"check: check_timeout:pending
Incompatible unit for input of ""add"" at index 1, expected ""Unit[]"", found ""Unit[CSPrice:1,CSShare:1]"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>

Aggregate Data:
Sharpe
1.94
Turnover
16.24%
Fitness
1.72
Returns
12.73%
Drawdown
5.60%
Margin
0.00‱"
near_pass_variant|adv20_anl4_ebitda_value_close_volume_vwap,near_pass_variant,adv20 | anl4_ebitda_value | close | volume | vwap,992,1.94,0.16263999999999998,"((group_rank(ts_delta(anl4_ebitda_value, 126)/cap,industry)-0.5)*0.7+(ts_rank(vwap/close, 252)-0.5)*0.3)*rank(ts_mean(volume, 63)/adv20)",1.94,0.1624,"check: check_timeout:pending
ok

Aggregate Data:
Sharpe
1.94
Turnover
16.24%
Fitness
1.72
Returns
12.73%
Drawdown
5.60%
Margin
0.00‱"
near_pass_variant|adv20_anl4_ebitda_value_close_volume_vwap,near_pass_variant,adv20 | anl4_ebitda_value | close | volume | vwap,992,1.94,0.16263999999999998,"((group_rank(ts_delta(anl4_ebitda_value, 126)/cap,industry)-0.5)*0.7+(ts_rank(vwap/close,126)-0.5)*0.3)*rank(ts_mean(volume, 63)/adv20)",1.94,0.1628,"check: poll_only
LOW_SHARPE:PASS:1.94/1.25; LOW_FITNESS:PASS:1.72/1.0; LOW_TURNOVER:PASS:0.1628/0.01; HIGH_TURNOVER:PASS:0.1628/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS:1.18/0.84; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
ok

Aggregate Data:
Sharpe
1.94
Turnover
16.28%
Fitness
1.72
Returns
12.73%
Drawdown
5.54%
Margin
0.00‱"
near_pass_variant|adv20_assets_close_volume_vwap,near_pass_variant,adv20 | assets | close | volume | vwap,553,2.13,0.1687,"((group_rank(ts_delta(assets, 252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close, 126)-0.5)*0.3)*rank(ts_mean(volume, 126)/adv20)",2.13,0.1687,"check: check_timeout:pending
ok

Aggregate Data:
Sharpe
2.13
Turnover
16.87%
Fitness
1.68
Returns
10.51%
Drawdown
5.60%
Margin
0.00‱"
near_pass_variant|adv20_assets_close_volume_vwap,near_pass_variant,adv20 | assets | close | volume | vwap,553,2.13,0.1687,"((group_rank(ts_delta(assets,252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close,126)-0.5)*0.3)*rank(ts_mean(volume, 126)/(1+adv20))",2.13,0.1687,"check: check_timeout:pending
LOW_SHARPE:PASS:2.13/1.25; LOW_FITNESS:PASS:1.68/1.0; LOW_TURNOVER:PASS:0.1687/0.01; HIGH_TURNOVER:PASS:0.1687/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS:1.24/0.92; UNITS:WARNING; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
Incompatible unit for input of ""add"" at index 1, expected ""Unit[]"", found ""Unit[CSPrice:1,CSShare:1]"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>

Aggregate Data:
Sharpe
2.13
Turnover
16.87%
Fitness
1.68
Returns
10.51%
Drawdown
5.60%
Margin
0.00‱"
near_pass_variant|adv20_assets_close_volume_vwap,near_pass_variant,adv20 | assets | close | volume | vwap,553,2.13,0.1687,"((group_rank(ts_delta(assets,252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close, 126)-0.5)*0.3)*rank(ts_mean(volume, 126)/adv20)",2.13,0.1687,"check: check_timeout:pending
ok

Aggregate Data:
Sharpe
2.13
Turnover
16.87%
Fitness
1.68
Returns
10.51%
Drawdown
5.60%
Margin
0.00‱"
near_pass_variant|adv20_assets_close_volume_vwap,near_pass_variant,adv20 | assets | close | volume | vwap,553,2.13,0.1687,"((group_rank(ts_delta(assets, 252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close,126)-0.5)*0.3)*rank(ts_mean(volume, 126)/(1+adv20))",2.13,0.1687,"check: check_timeout:pending
LOW_SHARPE:PASS:2.13/1.25; LOW_FITNESS:PASS:1.68/1.0; LOW_TURNOVER:PASS:0.1687/0.01; HIGH_TURNOVER:PASS:0.1687/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS:1.24/0.92; UNITS:WARNING; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
Incompatible unit for input of ""add"" at index 1, expected ""Unit[]"", found ""Unit[CSPrice:1,CSShare:1]"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>

Aggregate Data:
Sharpe
2.13
Turnover
16.87%
Fitness
1.68
Returns
10.51%
Drawdown
5.60%
Margin
0.00‱"
near_pass_variant|adv20_assets_close_volume_vwap,near_pass_variant,adv20 | assets | close | volume | vwap,553,2.13,0.1687,"((group_rank(ts_delta(assets, 252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close, 126)-0.5)*0.3)*rank(ts_mean(volume, 126)/adv20)",2.13,0.1687,"check: poll_only
LOW_SHARPE:PASS:2.13/1.25; LOW_FITNESS:PASS:1.68/1.0; LOW_TURNOVER:PASS:0.1687/0.01; HIGH_TURNOVER:PASS:0.1687/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS:1.24/0.92; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
ok

Aggregate Data:
Sharpe
2.13
Turnover
16.87%
Fitness
1.68
Returns
10.51%
Drawdown
5.60%
Margin
0.00‱"
